Epoch	Train Loss	Train Acc	Test Loss	Test Acc	Epoch Time
132	0.0954	99.29	0.0382	99.00	36.96
133	0.0900	99.71	0.0379	99.00	36.68
134	0.0862	99.71	0.0374	99.00	37.08
135	0.0847	99.71	0.0338	99.33	37.25
136	0.1009	99.14	0.0327	99.33	36.75
137	0.0923	99.43	0.0348	99.00	36.81
138	0.0819	99.86	0.0306	99.33	37.02
139	0.0856	99.57	0.0318	99.33	37.38
140	0.0852	99.86	0.0448	98.67	36.86
141	0.0847	99.86	0.0312	99.00	37.32
142	0.0859	99.86	0.0408	99.00	38.03
143	0.1146	99.29	0.0309	99.33	37.18
144	0.0992	99.29	0.0393	98.67	37.25
145	0.1103	99.57	0.0503	98.33	36.90
146	0.0991	99.43	0.0333	99.67	36.69
147	0.0946	99.57	0.0357	99.33	37.37
148	0.0878	99.71	0.0383	99.00	37.50
149	0.1083	99.57	0.0419	99.00	37.12
150	0.0843	99.71	0.0355	99.00	38.41
151	0.1438	98.86	0.0328	99.00	37.06
152	0.0864	99.43	0.0408	99.00	37.68
153	0.0901	99.14	0.0393	99.00	37.59
154	0.1107	99.29	0.0490	99.00	37.00
155	0.0960	99.00	0.0556	99.00	36.13
156	0.0979	99.00	0.0480	99.33	36.95
157	0.0873	99.71	0.0416	99.00	36.68
158	0.0806	100.00	0.0372	99.00	36.94
159	0.0876	99.57	0.0361	99.00	36.99
160	0.0822	99.86	0.0404	99.00	36.44
161	0.0839	99.71	0.0381	99.00	37.18
162	0.0775	99.86	0.0423	99.00	36.71
163	0.0932	99.14	0.0488	99.00	37.11
164	0.0791	99.86	0.0455	99.00	36.35
165	0.0768	99.86	0.0416	99.00	37.85
166	0.0772	99.86	0.0422	99.00	36.61
167	0.0747	99.71	0.0359	99.00	37.45
168	0.0787	99.57	0.0437	99.00	36.91
169	0.0714	99.86	0.0452	99.00	37.49
170	0.1011	99.14	0.0360	99.00	37.97
171	0.1009	99.57	0.0441	99.00	35.94
172	0.1265	99.43	0.0416	99.00	37.02
173	0.1202	98.71	0.0447	98.67	36.45
174	0.0928	99.29	0.0429	99.00	37.88
175	0.0938	99.29	0.0373	99.00	37.71
176	0.0779	99.57	0.0404	99.00	37.16
177	0.0966	99.57	0.0481	99.00	37.19
178	0.0986	99.57	0.0522	99.00	36.78
179	0.0759	99.43	0.0366	99.00	36.63
180	0.0875	99.29	0.0402	99.00	36.37
181	0.0828	99.43	0.0357	99.00	36.55
182	0.0778	99.43	0.0614	98.00	36.69
183	0.0765	99.57	0.0357	99.00	37.00
184	0.0858	99.43	0.0321	99.33	36.44
185	0.0782	99.57	0.0426	98.67	33.86
186	0.0784	99.57	0.0470	98.67	33.98
187	0.0702	99.71	0.0411	99.00	34.01
188	0.1017	99.43	0.0450	98.67	34.21
189	0.0818	99.57	0.0328	99.33	34.22
190	0.0788	99.57	0.0354	99.00	33.95
191	0.0720	99.86	0.0439	99.00	34.22
192	0.0697	99.57	0.0342	99.00	34.32
193	0.0794	99.29	0.0341	99.00	33.95
194	0.0928	99.43	0.0428	99.00	34.17
195	0.0928	99.00	0.0385	99.00	33.74
196	0.0703	99.71	0.0386	99.00	34.10
197	0.1147	98.71	0.0527	98.67	33.98
198	0.0798	99.43	0.0350	99.00	34.29
199	0.0767	99.86	0.0380	99.00	37.25
200	0.0833	99.29	0.0335	99.00	37.50
